"n" "ministere_client_" "code_naf" "siren" "direction" "date_prev" "fournisseur_actuel_d_electricite" "nom_du_site" "adresse" "code_postal" "ville" "siret" "rae" "type_de_tarif" "tension_de_raccordement" "p_16" "hph_17" "hch_18" "hpe_19" "hce_20" "hh_ejp_21" "p_ejp_22" "p_23" "hph_24" "hch_25" "hpe_26" "hce_27" "hh_ejp_28" "p_ejp_29" "p_30" "hph_31" "hch_32" "hpe_33" "hce_34" "hh_ejp_35" "p_ejp_36" "total" "electricite_100_verte_oui_non_"
"11" 47 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "TRESORERIE GENERALE DU NORD" "82 AVENUE PDT J FITZGERALD KENNEDY" "59800" "LILLE" "17590211300018" "30000110592536" "VERT Base A5 LU" "HTA1" "580" "580" "580" "580" "580" NA NA "544" "570" "227" "495" "210" NA NA "91706" "513724.00000000006" "276555" "732768" "334296" NA NA "1949049" "OUI"
"12" 48 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "CITE ADMINISTRATIVE" "RUE GUSTAVE DELORY" "59800" "LILLE" "17590221200018" "30000110668464" "VERT Base A5 LU" "HTA1" "510" "510" "510" "510" "510" NA NA "508" "511" "170" "454" "209" NA NA "79229" "419055" "168868" "548631" "184271" NA NA "1400054" "NON"
"13" 49 "Ministères économiques et financiers" "84.11Z" 110020013 "DGDDI" NA "EDF" "DNRFP - ECOLE NAT.DES DOUANES" "11 AVENUE JEAN MILLET" "59200" "TOURCOING" "16002302400021" "30000111738902" "VERT Base A5 LU" "HTA1" "380" "380" "380" "380" "380" NA NA "316" "392" "210" "325" "169" NA NA "57464" "303632" "145492" "486849" "194351" NA NA "1187788" "OUI"
"14" 50 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "MEFI - DGI - DSF - CITE ADMINISTRATIVE ROUEN" "CITE ADMINISTRATIVE" "76100" "ROUEN" "17760221601073" "30000210353604" "VERT Base A5 MU" "HTA1" "700" "700" "700" "700" "700" NA NA "627" "663" "229" "770" "274" NA NA "69879" "480019" "180236" "801437" "246407" NA NA "1777978" "OUI"
"15" 51 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "DSF TRESORERIE M M  NANCY" "50 RUE DES PONTS" "54036" "NANCY" "17540211400011" "30000510303037" "VERT Base A5 MU" "HTA1" "510" "565" "565" "565" "565" NA NA "630" "562" "610" "530" "569" NA NA "68344" "375264" "337850" "295575" "134986" NA NA "1212019" "OUI"
"16" 52 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "PAIERIE GENERALE DU TRESOR" "16 RUE NOTRE DAME DES VICTOIRES" "75002" "PARIS 02" "11002001300097" "30000710011902" "VERT Base A5 LU" "HTA1" "400" "400" "400" "400" "400" NA NA "285" "284" "196" "487" "212" NA NA "66323" "371219" "263658" "607666" "369773" NA NA "1678639" "NON"
"17" 53 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "RECETTE GENERALE DES FINANCES" "96 RUE REAUMUR" "75002" "PARIS 02" "17750212700695" "30000711148687" "VERT Base A5 MU" "HTA1" "465" "465" "465" "465" "465" NA NA "234" "358" "289" "512" "330" NA NA "54421" "309904" "198065" "567138" "224637" NA NA "1354165" "OUI"
"18" 54 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "MEFI - DGI - DSIP (072-06450)" "RUE REYNALDO HAHN" "75020" "PARIS 20" "32033495600036" "30000720645041" "VERT Base A5 MU" "HTA1" "400" "400" "400" "400" "400" NA NA "360" "373" "118" "244" "95" NA NA "54554" "277881" "133550" "351683" "148913" NA NA "966581" "OUI"
"19" 55 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "DIRECTION SCS FISCAUX PAR EST" "17 PLACE DE L ARGONNE" "75019" "PARIS 19" "17751222500356" "30000754327740" "VERT Base A5 MU" "HTA1" "400" "400" "400" "400" "400" NA NA "199" "195" "87" "271" "212" NA NA "24524" "131328" "67419" "232727" "115714" NA NA "571712" "OUI"
"20" 56 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "CITE ADMINISTRATIVE COLIGNY" "131 FAUBOURG BANNIER" "45000" "ORLEANS" "17450221100017" "30000950042884" "VERT Base A5 LU" "HTA1" "800" "800" "800" "800" "800" NA NA "801" "886" "371" "862" "329" NA NA "146580" "770805" "416752" "1101929" "521001" NA NA "2957067" "OUI"
"21" 57 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "CITE ADMINISTRATIVE" "24 BOULEVARD HENRI DUNANT" "71000" "MACON" "13001282600017" "30001210281725" "VERT Base A5 LU" "HTA1" "520" "600" "600" "710" "710" NA NA "447" "458" "230" "643" "478" NA NA "69548" "421293" "110945" "744313" "103668" NA NA "1449767" "OUI"
"22" 58 "Ministères économiques et financiers" "84.11Z" 110020013 NA NA "EDF" "MAN" "RUE RENE VIVIANI" "44200" "NANTES" NA "30001420579300" "VERT Base A5 LU" "HTA1" "390" "390" "390" "490" "490" NA NA "386" "458" "209" "497" "371" NA NA "67352" "388554" "246476" "746662" "442324" NA NA "1891368" "OUI"
"23" 59 "Ministères économiques et financiers" "84.11Z" 110020013 "INSEE" NA "EDF" "I N S E E" "105 RUE DES FRANCAIS LIBRES" "44200" "NANTES" "12002701600126" "30001420762021" "VERT Base A5 LU" "HTA1" "400" "400" "510" "510" "510" NA NA "382" "366" "142" "379" "151" NA NA "58039" "334214" "141717" "515806.00000000006" "199055" NA NA "1248831" "OUI"
"24" 60 "Ministères économiques et financiers" "84.11Z" 110020013 "SG" NA "EDF" "MEFI - DPMA" "10 BOULEVARD GASTON DOUMERGUE" "44200" "NANTES" "12002103500023" "30001421039552" "VERT Base A5 LU" "HTA1" "380" "380" "380" "380" "380" NA NA "368" "622" "187" "388" "192" NA NA "68761" "396857" "221093" "589459" "287431" NA NA "1563601" "OUI"
"25" 61 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "DSF DE LA LOIRE ATLANTIQUE" "2 RUE GENERAL MARGUERITTE" "44000" "NANTES" "17440221400574" "30001421814905" "VERT Base A5 MU" "HTA1" "336" "336" "336" "336" "336" NA NA "363" "400" "97" "348" "100" NA NA "48380" "272880" "97512" "382609" "113760" NA NA "915141" "OUI"
"26" 62 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "DIRECTION SERVICES FISCAUX (R ENNES)" "2 BOULEVARD MAGENTA" "35000" "RENNES" "17350221200017" "30001440240282" "VERT Base A5 MU" "HTA1" "240" "271" "271" "271" "271" NA NA "223" "237" "37" "225" "30" NA NA "24590" "136112" "34724" "197123" "45959" NA NA "438508" "OUI"
"27" 63 "Ministères économiques et financiers" "84.11Z" 110020013 "DGDDI" NA "EDF" "DIRECTION GENERALE DES DOUANES" "1730 1 RUE DU JURA" "17000" "LA ROCHELLE" NA "30001520492148" "VERT Base A5 LU" "HTA1" "350" "350" "350" "350" "350" NA NA "336" "341" "198" "299" "176" NA NA "61788" "320611" "191688" "425952" "207583" NA NA "1207622" "OUI"
"28" 64 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "TRESORERIE GENERALE" "RUE MARGUERITE CRAUSTE" "33000" "BORDEAUX" "17330211800018" "30001610292018" "VERT Base A5 LU" "HTA1" "540" "540" "540" "540" "540" NA NA "518" "890" "299" "462" "420" NA NA "90263" "485409" "268181" "733478" "357120" NA NA "1934451" "OUI"
"29" 65 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "DIRECTION DES SERVICES FISCAUX" "CITE ADMINISTRATIVE" "24000" "PERIGUEUX" "17240221600011" "30001620400045" "VERT Base A5 MU" "HTA1" "200" "200" "200" "300" "300" NA NA "144" "140" "59" "234" "134" NA NA "25170" "129815" "68386" "262203" "128648" NA NA "614222" "OUI"
"30" 66 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "CITE ADMINISTRATIVE" "11 PLACE MARTIAL BRIGOULEIX" "19011" "TULLE" "17190211700018" "30001750586784" "VERT Base A5 MU" "HTA1" "400" "400" "400" "400" "400" NA NA "402" "394" "149" "414" "135" NA NA "65652" "354539" "160593" "408464" "167819" NA NA "1157067" "OUI"
"31" 67 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "MEFI DGI DSF RHONE HOTEL DES FINANCES" "2 RUE DE LA CHARITE" "69002" "LYON 02" "17690221100018" "30001910174033" "VERT Base A5 MU" "HTA1" "370" "370" "370" "370" "370" NA NA "383" "389" "192" "387" "179" NA NA "63552" "348524" "148120" "504867" "184972" NA NA "1250035" "OUI"
"32" 68 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "CITE ADMNISTRATIVE ETAT" "165 RUE GARIBALDI" "69003" "LYON 03" "11002001300097" "30001910545277" "VERT Base A5 LU" "HTA1" "2080" "2550" "2800" "2800" "2800" NA NA "2478" "2594" "2327" "2134" "1686" NA NA "375836" "2336154" "1277963" "2754214" "1062335" NA NA "7806502" "OUI"
"33" 69 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "DIRECTION DES SERVICES FISCAUX DES YVELINES" "1 PLACE JEAN MOULIN" "78200" "MANTES LA JOLIE" "17780221200015" "30002124100788" "VERT Base A5 MU" "HTA1" "630" "630" "630" "630" "630" NA NA "252" "236" "172" "192" "159" NA NA "42890" "199579" "172057" "223405" "119228" NA NA "757159" "OUI"
"34" 70 "Ministères économiques et financiers" "84.11Z" 110020013 NA NA "EDF" "MINISTERE DES FINANCES" "AVENUE PIERRE LAROUSSE" "92240" "MALAKOFF" NA "30002130233053" "VERT Base A5 LU" "HTA1" "1400" "1400" "1400" "1500" "1500" NA NA "1278" "1398" "1212" "1608" "1170" NA NA "264837" "1511515" "892551" "2622081" "1332460" NA NA "6623444" "OUI"
"35" 71 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "CITE ADMINISTRATIVE" "BOULEVARD CHAMBLAIN" "77000" "MELUN" "35144830300013" "30002210189914" "VERT Base A5 LU" "HTA1" "540" "540" "700" "700" "700" NA NA "543" "621" "275" "612" "305" NA NA "96263" "508495" "296397" "631393" "296409" NA NA "1828957" "OUI"
"36" 72 "Ministères économiques et financiers" "84.11Z" 110020013 "SG" NA "EDF" "MEFI - DPMA - SEM M LA V - CENTRE INFORMATIQUE DES" "COURS DU LUZARD" "77186" "NOISIEL" "12002001101346" "30002210338545" "VERT Base A5 LU" "HTA1" "1850" "1850" "1850" "1850" "1850" NA NA "2096" "2066" "1910" "1799" "1678" NA NA "495853" "2781654" "2387050" "4354913" "3146665" NA NA "13166135" "NON"
"37" 73 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "MEFI - DGI - DSF - 94 VAL DE MARNE  (223-00672) CR" "AVENUE COMP LIBER RESIST DEPORT" "94000" "CRETEIL" "17940221900895" "30002230067227" "VERT Base A5 LU" "HTA1" "600" "600" "600" "640" "640" NA NA "477" "496" "218" "553" "208" NA NA "91201" "495380" "252674" "787985" "348360" NA NA "1975600" "OUI"
"38" 74 "Ministères économiques et financiers" "84.11Z" 110020013 NA NA "EDF" "MINEFI MBCPRE" "AVENUE DE VERDUN" "94200" "IVRY SUR SEINE" "12002001101155" "30002234015193" "VERT Base A5 CU" "HTA1" "1300" "1300" "2700" "2700" "2700" NA NA "1201" "1147" "919" "1411" "719" NA NA "245898" "1274684" "733813" "2036180" "980338" NA NA "5270913" "OUI"
"39" 75 "Ministères économiques et financiers" "84.11Z" 110020013 NA NA "EDF" "MINEFI MBCPRE" "RUE BARBES" "94200" "IVRY SUR SEINE" "12002001101155" "30002234015205" "VERT Base A5 CU" "HTA1" "260" "260" "450" "450" "450" NA NA "236" "255" "88" "242" "103" NA NA "28033" "155341" "70285" "243838" "96561" NA NA "594058" "OUI"
"40" 76 "Ministères économiques et financiers" "84.11Z" 110020013 "SG" NA "EDF" "MEFI - DPMA - SEM M LA V - ILE DE FRANCE DCPE- (22" "20 ALLEE GEORGES POMPIDOU" "94300" "VINCENNES" "12002001101619" "30002241241182" "VERT Base A5 MU" "HTA1" "520" "520" "520" "520" "520" NA NA "405" "416" "184" "421" "230" NA NA "58483" "389410" "218287" "657463" "326294" NA NA "1649937" "OUI"
"41" 77 "Ministères économiques et financiers" "84.11Z" 110020013 NA NA "EDF" "DNID" "3 AVENUE DU CHEMIN DE PRESLES" "94417" "ST MAURICE" "16002205900010" "30002241586745" "VERT Base A5 MU" "HTA1" "320" "320" "320" "320" "320" NA NA "279" "278" "183" "178" "120" NA NA "33262" "166567" "58452" "202659" "95912" NA NA "556852" "OUI"
"42" 78 "Ministères économiques et financiers" "84.11Z" 110020013 NA NA "EDF" "MINEFE MBCPFP" "7 RUE DES 2 COMMUNES" "93558" "MONTREUIL" "12002001100744" "30002241770806" "VERT Base A5 LU" "HTA1" "900" "900" "900" "900" "900" NA NA "994" "959" "872" "884" "815" NA NA "169740" "896279" "453250" "1270810" "522111" NA NA "3312190" "OUI"
"43" 79 "Ministères économiques et financiers" "84.11Z" 110020013 NA NA "EDF" "MINEFE DPAEP LE  MONTAIGNE" "2 AVENUE MONTAIGNE" "93160" "NOISY LE GRAND" "11000037900013" "30002241802210" "VERT Base A5 LU" "HTA1" "2100" "2100" "2100" "2100" "2100" NA NA "2097" "2019" "1605" "1788" "1444" NA NA "442948" "2394347" "1937014" "2726498" "1757827" NA NA "9258634" "OUI"
"44" 80 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "TRESORERIE GENERALE DU 93" "100 RUE DE LA PREFECTURE" "93000" "BOBIGNY" "17930211200018" "30002250219236" "VERT Base A5 MU" "HTA1" "258" "261" "261" "287" "287" NA NA "106" "109" "45" "107" "56" NA NA "20604" "108247" "51962" "182013" "78139" NA NA "440965" "OUI"
"45" 81 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "MEFI - DGI - DGE - PANTIN (225-16814)" "6 RUE COURTOIS" "93500" "PANTIN" "17930221100729" "30002251681497" "VERT Base A5 MU" "HTA1" "543" "543" "543" "543" "543" NA NA "518" "510" "482" "394" "432" NA NA "84316" "360360" "306975" "393257" "190194" NA NA "1335102" "OUI"
"46" 82 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "MEFI - DGI - DVNI - PANTIN (225-18115)" "6 B RUE COURTOIS" "93500" "PANTIN" "16002203400633" "30002251811552" "VERT Base A5 MU" "HTA1" "574" "574" "574" "574" "574" NA NA "553" "561" "335" "473" "284" NA NA "81978" "373499" "354007" "491753" "215553" NA NA "1516790" "OUI"
"47" 83 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "DRFIP 31 - TRESORERIE GENERALE" "49 RUE DU REMPART SAINT ETIENNE" "31000" "TOULOUSE" "17310211200013" "30002310531940" "VERT Base A5 LU" "HTA1" "320" "340" "340" "370" "370" NA NA "241" "258" "128" "284" "180" NA NA "39942" "201992" "136962" "428654" "214609" NA NA "1022159" "OUI"
"48" 84 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "MIN. ECONOMIE FINANCES CITE ADMINISTRATIVE" "BOULEVARD ARMAND DUPORTAL" "31000" "TOULOUSE" "17310221100013" "30002310578720" "VERT Base A5 MU" "HTA1" "1000" "1000" "1000" "1000" "1000" NA NA "568" "583" "201" "663" "198" NA NA "86740" "455798" "212162" "625028" "243557" NA NA "1623285" "OUI"
"49" 85 "Ministères économiques et financiers" "84.11Z" 110020013 NA NA "EDF" "MIN DE L'ECONOMIE ET FINANCES" "161 CHEMIN DE LESTANG" "31100" "TOULOUSE" "16002306500016" "30002310684156" "VERT Base A5 LU" "HTA1" "400" "400" "400" "400" "400" NA NA "417" "444" "369" "424" "332" NA NA "87152" "503235" "393623" "837364" "552638" NA NA "2374012" "OUI"
"50" 86 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "TRESORERIE GENERALE" "ALLEE HENRI II DE MONTMORENCY" "34000" "MONTPELLIER" "17340211600011" "30002430229689" "VERT Base A5 LU" "HTA1" "290" "290" "290" "290" "290" NA NA "237" "247" "160" "274" "142" NA NA "33048" "150948" "77669" "315754" "105646" NA NA "683065" "OUI"
"51" 87 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "DIRECTION DES IMPOTS 34 - MONTPELLIER TRIPODE" "156 RUE ALFRED NOBEL" "34000" "MONTPELLIER" "17340221500482" "30002430961603" "VERT Base A5 CU" "HTA1" "152" "253" "253" "253" "253" NA NA "141" "229" "96" "112" "0" NA NA "22283" "109474" "72906" "124379" "56888" NA NA "385930" "OUI"
"52" 88 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "DIRECTION DES IMPOTS PACA - MARSEILLE DIRECTION RE" "BOULEVARD ROMAIN ROLLAND CENTRE INFO" "13010" "MARSEILLE 10" "17130221900018" "30002510199950" "VERT Base A5 LU" "HTA1" "290" "290" "290" "290" "290" NA NA "252" "261" "182" "352" "235" NA NA "49026" "279725" "178562" "494276" "264573" NA NA "1266162" "OUI"
"53" 89 "Ministères économiques et financiers" "84.11Z" 110020013 NA NA "EDF" "MINISTERE DE L ECONOMIE BUDGET" NA "13008" "MARSEILLE 08" "17130211000019" "30002510207529" "VERT Base A5 MU" "HTA1" "390" "390" "390" "620" "620" NA NA "419" "413" "118" "656" "180" NA NA "62705" "350012" "137315" "726683" "224869" NA NA "1501584" "OUI"
"54" 90 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "CENTRE DES FINANCES PUBLIQUES" "11 RUE MERY" "13002" "MARSEILLE 02" "17130221900018" "30002514092580" "VERT Base A5 MU" "HTA1" "350" "350" "350" "350" "350" NA NA "168" "161" "47" "200" "97" NA NA "22887" "123477" "45673" "209678" "57952" NA NA "459667" "OUI"
"55" 91 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "CITE ADMINISTRATIVE 0000" "13 RUE DE LORGUES" "83000" "TOULON" "17830221200018" "30002531902351" "VERT Base A5 MU" "HTA1" "598" "598" "598" "598" "598" NA NA "302" "310" "340" "251" "156" NA NA "36837" "204835" "67279" "207431" "79536" NA NA "595918" "OUI"
"56" 92 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "TRESORERIE GENERALE DES A M" "15 B RUE DELILLE" "06000" "NICE" "17060211400010" "30002540372035" "VERT Base A5 LU" "HTA1" "400" "400" "440" "440" "440" NA NA "492" "493" "266" "363" "237" NA NA "59577" "293808" "163212" "284687" "127383" NA NA "928667" "OUI"
"57" 93 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "HOTEL DES FINANCES" "35 AVENUE THIERS" "06000" "NICE" "17060211400010" "30002540923270" "VERT Base A5 MU" "HTA1" "250" "250" "250" "250" "250" NA NA "168" "155" "75" "218" "98" NA NA "22489" "129436" "57582" "226731" "96754" NA NA "532992" "OUI"
"58" 94 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "DIRECTION DES IMPOTS PACA - AVIGNON* DIR SVCES FIS" "COURS JEAN JAURES" "84000" "AVIGNON" "17840221000243" "30002580159329" "VERT Base A5 MU" "HTA1" "340" "340" "340" "340" "340" NA NA "336" "319" "119" "321" "115" NA NA "48438" "257779" "108630" "388408" "140781" NA NA "944036" "OUI"
"59" 95 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "DISI PARIS CHAMPAGE - REIMS" "24 BOULEVARD PASTEUR" "51100" "REIMS" NA "30000430018188" "VERT A5 OPTION BASE LU" "HTA1" "247" "247" "247" "300" "300" NA NA "200" "227" "168" "243" "221" NA NA "39998" "221959" "134743" "399265" "215235" NA NA "1011200" "OUI"
"60" 96 "Ministères économiques et financiers" "84.11Z" 110020013 NA NA "EDF" "D.I.T.G." "8 AVENUE JEAN PORTALIS" "37200" "TOURS" NA "30000970863242" "VERT A5 OPTION BASE LU" "HTA1" "240" "262" "262" "282" "282" NA NA "241" "209" "158" "258" "187" NA NA "47751" "285597" "213839" "491472" "318762" NA NA "1357421" "OUI"
"61" 97 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "TRESORERIE GENERALE D I.ET V." "37 PLACE DU COLOMBIER" "35000" "RENNES" NA "30001440198298" "VERT A5 OPTION BASE MU" "HTA1" "410" "410" "410" "410" "410" NA NA "217" "240" "111" "305" "166" NA NA "28838" "185258" "80319" "330827" "113942" NA NA "739184" "OUI"
"62" 98 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "SCES FISC VIENNE/CENT REG INFO" "14 RUE SALVADOR ALLENDE" "86000" "POITIERS" NA "30001540044862" "VERT A5 OPTION BASE LU" "HTA1" "310" "310" "310" "310" "310" NA NA "273" "294" "254" "322" "224" NA NA "57717" "342195" "228715" "579341" "337449" NA NA "1545417" "OUI"
"63" 99 "Ministères économiques et financiers" "84.11Z" 110020013 NA NA "EDF" "CENTRE SERVICES INFORMATIQUES" "10 RUE CLAUDE GUICHARD" "63000" "CLERMONT FERRAND" NA "30001710202378" "VERT A5 OPTION BASE LU" "HTA1" "290" "290" "290" "330" "330" NA NA "249" "285" "231" "312" "242" NA NA "40859" "253511" "148823" "423675" "216193" NA NA "1083061" "OUI"
"64" 100 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "HOTEL DES IMPOTS" "65 BOULEVARD BERTHELOT" "63400" "CHAMALIERES" NA "30001710280321" "VERT A5 OPTION BASE MU" "HTA1" "260" "260" "260" "260" "260" NA NA "284" "271" "137" "248" "116" NA NA "30910" "170343" "45767" "222886" "56713" NA NA "526619" "OUI"
"65" 101 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "DIRECTION DES SERVICES INFORMA" "5 PETITE RUE DE MONPLAISIR" "69008" "LYON" NA "30001910275386" "VERT A5 OPTION BASE LU" "HTA1" "340" "340" "340" "340" "340" NA NA "292" "305" "239" "314" "270" NA NA "68630" "415852" "329588" "694082" "473562" NA NA "1981714" "OUI"
"66" 102 "Ministères économiques et financiers" "84.11Z" 110020013 "DGFIP" NA "EDF" "DEPT INFORMATIQUE TRESO GALE" "53 BOULEVARD MARIUS VIVIER MERLE" "69003" "LYON" NA "30001912039823" "VERT A5 OPTION BASE LU" "HTA1" "330" "330" "330" "330" "330" NA NA "334" "362" "319" "359" "329" NA NA "84882" "522960" "435518" "845986" "607797" NA NA "2497143" "OUI"
